0;170827594.7;7636309.071;13845858.33;396635550.2;332026761;66500511.88;493586360.8;16129480.44;41825017.76
170827594.7;0;4146749.937;8686306.834;134408804.1;29729506.54;67537802.06;430558589.4;9040991.678;29520513.23
7636309.071;4146749.937;0;10766960.42;3937209.168;2278071.275;1453496.916;44156887.63;75621511.53;8186195.07
13845858.33;8686306.834;10766960.42;0;6479472.758;3467701.007;2392022.691;178362208.8;38007379.8;45150426.71
396635550.2;134408804.1;3937209.168;6479472.758;0;135102240;228603574.7;192284568.9;8132771.18;18230823.84
332026761;29729506.54;2278071.275;3467701.007;135102240;0;20358175.17;90304351.94;4619068.851;9252613.96
66500511.88;67537802.06;1453496.916;2392022.691;228603574.7;20358175.17;0;70985567.68;3002369.78;6730261.23
493586360.8;430558589.4;44156887.63;178362208.8;192284568.9;90304351.94;70985567.68;0;108900218.9;1386081679
16129480.44;9040991.678;75621511.53;38007379.8;8132771.18;4619068.851;3002369.78;108900218.9;0;23990739.33
41825017.76;29520513.23;8186195.07;45150426.71;18230823.84;9252613.96;6730261.23;1386081679;23990739.33;0
